smiles,cutnum,scaffold,fragment,combined
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,1,,CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)[*:1])C(C)(C)c2ccccc21.C[*:1],CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)[*:1])C(C)(C)c2ccccc21.C[*:1]
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,2,,CCN1/C(=C\C=C\C=C\C2=[N+]([*:1])c3ccccc3C2(C)C)C(C)(C)c2ccccc21.CC[*:1],CCN1/C(=C\C=C\C=C\C2=[N+]([*:1])c3ccccc3C2(C)C)C(C)(C)c2ccccc21.CC[*:1]
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,3,,CCN1/C(=C\C=C\C=C\C2=[N+](C[*:1])c3ccccc3C2(C)C)C(C)(C)c2ccccc21.C[*:1],CCN1/C(=C\C=C\C=C\C2=[N+](C[*:1])c3ccccc3C2(C)C)C(C)(C)c2ccccc21.C[*:1]
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,4,,CCN1/C(=C\C=C\C=C[*:1])C(C)(C)c2ccccc21.CC[N+]1=C([*:1])C(C)(C)c2ccccc21,CCN1/C(=C\C=C\C=C[*:1])C(C)(C)c2ccccc21.CC[N+]1=C([*:1])C(C)(C)c2ccccc21
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,5,,CCN1/C(=C\C=C[*:1])C(C)(C)c2ccccc21.CC[N+]1=C(C=C[*:1])C(C)(C)c2ccccc21,CCN1/C(=C\C=C[*:1])C(C)(C)c2ccccc21.CC[N+]1=C(C=C[*:1])C(C)(C)c2ccccc21
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,6,,CCN1C(=C[*:1])C(C)(C)c2ccccc21.CC[N+]1=C(/C=C/C=C[*:1])C(C)(C)c2ccccc21,CCN1C(=C[*:1])C(C)(C)c2ccccc21.CC[N+]1=C(/C=C/C=C[*:1])C(C)(C)c2ccccc21
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,7,,CC[*:1].CC[N+]1=C(/C=C/C=C/C=C2\N([*:1])c3ccccc3C2(C)C)C(C)(C)c2ccccc21,CC[*:1].CC[N+]1=C(/C=C/C=C/C=C2\N([*:1])c3ccccc3C2(C)C)C(C)(C)c2ccccc21
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,8,,CC[N+]1=C(/C=C/C=C/C=C2\N(C[*:1])c3ccccc3C2(C)C)C(C)(C)c2ccccc21.C[*:1],CC[N+]1=C(/C=C/C=C/C=C2\N(C[*:1])c3ccccc3C2(C)C)C(C)(C)c2ccccc21.C[*:1]
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,9,,CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)([*:1])c2ccccc21.C[*:1],CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)([*:1])c2ccccc21.C[*:1]
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,1,CCN1C(=CC=CC=CC2=[N+](CC)c3ccccc3C2([*:1])[*:2])C(C)(C)c2ccccc21,C[*:1].C[*:2],CCN1C(=CC=CC=CC2=[N+](CC)c3ccccc3C2([*:1])[*:2])C(C)(C)c2ccccc21.C[*:1].C[*:2]
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,2,CCN1C(=CC=CC=CC2=[N+]([*:2])c3ccccc3C2(C)[*:1])C(C)(C)c2ccccc21,CC[*:2].C[*:1],CCN1C(=CC=CC=CC2=[N+]([*:2])c3ccccc3C2(C)[*:1])C(C)(C)c2ccccc21.CC[*:2].C[*:1]
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,3,CCN1C(=CC=CC=CC2=[N+](C[*:2])c3ccccc3C2(C)[*:1])C(C)(C)c2ccccc21,C[*:1].C[*:2],CCN1C(=CC=CC=CC2=[N+](C[*:2])c3ccccc3C2(C)[*:1])C(C)(C)c2ccccc21.C[*:1].C[*:2]
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,4,CC[N+]1=C([*:2])C(C)([*:1])c2ccccc21,CCN1C(=CC=CC=C[*:2])C(C)(C)c2ccccc21.C[*:1],CC[N+]1=C([*:2])C(C)([*:1])c2ccccc21.CCN1C(=CC=CC=C[*:2])C(C)(C)c2ccccc21.C[*:1]
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,5,CC[N+]1=C(C=C[*:2])C(C)([*:1])c2ccccc21,CCN1C(=CC=C[*:2])C(C)(C)c2ccccc21.C[*:1],CC[N+]1=C(C=C[*:2])C(C)([*:1])c2ccccc21.CCN1C(=CC=C[*:2])C(C)(C)c2ccccc21.C[*:1]
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,6,CC[N+]1=C(C=CC=C[*:2])C(C)([*:1])c2ccccc21,CCN1C(=C[*:2])C(C)(C)c2ccccc21.C[*:1],CC[N+]1=C(C=CC=C[*:2])C(C)([*:1])c2ccccc21.CCN1C(=C[*:2])C(C)(C)c2ccccc21.C[*:1]
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,7,CC[N+]1=C(C=CC=CC=C2N([*:2])c3ccccc3C2(C)C)C(C)([*:1])c2ccccc21,CC[*:2].C[*:1],CC[N+]1=C(C=CC=CC=C2N([*:2])c3ccccc3C2(C)C)C(C)([*:1])c2ccccc21.CC[*:2].C[*:1]
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,8,CC[N+]1=C(C=CC=CC=C2N(C[*:2])c3ccccc3C2(C)C)C(C)([*:1])c2ccccc21,C[*:1].C[*:2],CC[N+]1=C(C=CC=CC=C2N(C[*:2])c3ccccc3C2(C)C)C(C)([*:1])c2ccccc21.C[*:1].C[*:2]
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,9,CCN1C(=CC=CC=CC2=[N+](CC)c3ccccc3C2(C)[*:1])C(C)([*:2])c2ccccc21,C[*:1].C[*:2],CCN1C(=CC=CC=CC2=[N+](CC)c3ccccc3C2(C)[*:1])C(C)([*:2])c2ccccc21.C[*:1].C[*:2]
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,10,C([*:1])[*:2],CCN1C(=CC=CC=CC2=[N+]([*:2])c3ccccc3C2(C)C)C(C)(C)c2ccccc21.C[*:1],C([*:1])[*:2].CCN1C(=CC=CC=CC2=[N+]([*:2])c3ccccc3C2(C)C)C(C)(C)c2ccccc21.C[*:1]
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,11,CC1(C)C([*:1])=[N+]([*:2])c2ccccc21,CCN1C(=CC=CC=C[*:1])C(C)(C)c2ccccc21.CC[*:2],CC1(C)C([*:1])=[N+]([*:2])c2ccccc21.CCN1C(=CC=CC=C[*:1])C(C)(C)c2ccccc21.CC[*:2]
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,12,CC1(C)C(C=C[*:1])=[N+]([*:2])c2ccccc21,CCN1C(=CC=C[*:1])C(C)(C)c2ccccc21.CC[*:2],CC1(C)C(C=C[*:1])=[N+]([*:2])c2ccccc21.CCN1C(=CC=C[*:1])C(C)(C)c2ccccc21.CC[*:2]
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,13,CC1(C)C(C=CC=C[*:1])=[N+]([*:2])c2ccccc21,CCN1C(=C[*:1])C(C)(C)c2ccccc21.CC[*:2],CC1(C)C(C=CC=C[*:1])=[N+]([*:2])c2ccccc21.CCN1C(=C[*:1])C(C)(C)c2ccccc21.CC[*:2]
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,14,CC1(C)C(=CC=CC=CC2=[N+]([*:1])c3ccccc3C2(C)C)N([*:2])c2ccccc21,CC[*:1].CC[*:2],CC1(C)C(=CC=CC=CC2=[N+]([*:1])c3ccccc3C2(C)C)N([*:2])c2ccccc21.CC[*:1].CC[*:2]
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,15,CC1(C)C(=CC=CC=CC2=[N+]([*:2])c3ccccc3C2(C)C)N(C[*:1])c2ccccc21,CC[*:2].C[*:1],CC1(C)C(=CC=CC=CC2=[N+]([*:2])c3ccccc3C2(C)C)N(C[*:1])c2ccccc21.CC[*:2].C[*:1]
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,16,CCN1C(=CC=CC=CC2=[N+]([*:2])c3ccccc3C2(C)C)C(C)([*:1])c2ccccc21,CC[*:2].C[*:1],CCN1C(=CC=CC=CC2=[N+]([*:2])c3ccccc3C2(C)C)C(C)([*:1])c2ccccc21.CC[*:2].C[*:1]
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,17,CC1(C)C([*:2])=[N+](C[*:1])c2ccccc21,CCN1C(=CC=CC=C[*:2])C(C)(C)c2ccccc21.C[*:1],CC1(C)C([*:2])=[N+](C[*:1])c2ccccc21.CCN1C(=CC=CC=C[*:2])C(C)(C)c2ccccc21.C[*:1]
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,18,CC1(C)C(C=C[*:2])=[N+](C[*:1])c2ccccc21,CCN1C(=CC=C[*:2])C(C)(C)c2ccccc21.C[*:1],CC1(C)C(C=C[*:2])=[N+](C[*:1])c2ccccc21.CCN1C(=CC=C[*:2])C(C)(C)c2ccccc21.C[*:1]
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,19,CC1(C)C(C=CC=C[*:2])=[N+](C[*:1])c2ccccc21,CCN1C(=C[*:2])C(C)(C)c2ccccc21.C[*:1],CC1(C)C(C=CC=C[*:2])=[N+](C[*:1])c2ccccc21.CCN1C(=C[*:2])C(C)(C)c2ccccc21.C[*:1]
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,20,CC1(C)C(=CC=CC=CC2=[N+](C[*:1])c3ccccc3C2(C)C)N([*:2])c2ccccc21,CC[*:2].C[*:1],CC1(C)C(=CC=CC=CC2=[N+](C[*:1])c3ccccc3C2(C)C)N([*:2])c2ccccc21.CC[*:2].C[*:1]
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,21,CC1(C)C(=CC=CC=CC2=[N+](C[*:1])c3ccccc3C2(C)C)N(C[*:2])c2ccccc21,C[*:1].C[*:2],CC1(C)C(=CC=CC=CC2=[N+](C[*:1])c3ccccc3C2(C)C)N(C[*:2])c2ccccc21.C[*:1].C[*:2]
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,22,CCN1C(=CC=CC=CC2=[N+](C[*:1])c3ccccc3C2(C)C)C(C)([*:2])c2ccccc21,C[*:1].C[*:2],CCN1C(=CC=CC=CC2=[N+](C[*:1])c3ccccc3C2(C)C)C(C)([*:2])c2ccccc21.C[*:1].C[*:2]
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,23,C(=C[*:2])[*:1],CCN1C(=CC=C[*:2])C(C)(C)c2ccccc21.CC[N+]1=C([*:1])C(C)(C)c2ccccc21,C(=C[*:2])[*:1].CCN1C(=CC=C[*:2])C(C)(C)c2ccccc21.CC[N+]1=C([*:1])C(C)(C)c2ccccc21
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,24,C(C=C[*:2])=C[*:1],CCN1C(=C[*:2])C(C)(C)c2ccccc21.CC[N+]1=C([*:1])C(C)(C)c2ccccc21,C(C=C[*:2])=C[*:1].CCN1C(=C[*:2])C(C)(C)c2ccccc21.CC[N+]1=C([*:1])C(C)(C)c2ccccc21
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,25,CC1(C)C(=CC=CC=C[*:1])N([*:2])c2ccccc21,CC[*:2].CC[N+]1=C([*:1])C(C)(C)c2ccccc21,CC1(C)C(=CC=CC=C[*:1])N([*:2])c2ccccc21.CC[*:2].CC[N+]1=C([*:1])C(C)(C)c2ccccc21
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,26,CC1(C)C(=CC=CC=C[*:2])N(C[*:1])c2ccccc21,CC[N+]1=C([*:2])C(C)(C)c2ccccc21.C[*:1],CC1(C)C(=CC=CC=C[*:2])N(C[*:1])c2ccccc21.CC[N+]1=C([*:2])C(C)(C)c2ccccc21.C[*:1]
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,27,CCN1C(=CC=CC=C[*:2])C(C)([*:1])c2ccccc21,CC[N+]1=C([*:2])C(C)(C)c2ccccc21.C[*:1],CCN1C(=CC=CC=C[*:2])C(C)([*:1])c2ccccc21.CC[N+]1=C([*:2])C(C)(C)c2ccccc21.C[*:1]
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,28,C(=C[*:2])[*:1],CCN1C(=C[*:1])C(C)(C)c2ccccc21.CC[N+]1=C(C=C[*:2])C(C)(C)c2ccccc21,C(=C[*:2])[*:1].CCN1C(=C[*:1])C(C)(C)c2ccccc21.CC[N+]1=C(C=C[*:2])C(C)(C)c2ccccc21
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,29,CC1(C)C(=CC=C[*:1])N([*:2])c2ccccc21,CC[*:2].CC[N+]1=C(C=C[*:1])C(C)(C)c2ccccc21,CC1(C)C(=CC=C[*:1])N([*:2])c2ccccc21.CC[*:2].CC[N+]1=C(C=C[*:1])C(C)(C)c2ccccc21
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,30,CC1(C)C(=CC=C[*:2])N(C[*:1])c2ccccc21,CC[N+]1=C(C=C[*:2])C(C)(C)c2ccccc21.C[*:1],CC1(C)C(=CC=C[*:2])N(C[*:1])c2ccccc21.CC[N+]1=C(C=C[*:2])C(C)(C)c2ccccc21.C[*:1]
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,31,CCN1C(=CC=C[*:2])C(C)([*:1])c2ccccc21,CC[N+]1=C(C=C[*:2])C(C)(C)c2ccccc21.C[*:1],CCN1C(=CC=C[*:2])C(C)([*:1])c2ccccc21.CC[N+]1=C(C=C[*:2])C(C)(C)c2ccccc21.C[*:1]
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,32,CC1(C)C(=C[*:1])N([*:2])c2ccccc21,CC[*:2].CC[N+]1=C(C=CC=C[*:1])C(C)(C)c2ccccc21,CC1(C)C(=C[*:1])N([*:2])c2ccccc21.CC[*:2].CC[N+]1=C(C=CC=C[*:1])C(C)(C)c2ccccc21
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,33,CC1(C)C(=C[*:2])N(C[*:1])c2ccccc21,CC[N+]1=C(C=CC=C[*:2])C(C)(C)c2ccccc21.C[*:1],CC1(C)C(=C[*:2])N(C[*:1])c2ccccc21.CC[N+]1=C(C=CC=C[*:2])C(C)(C)c2ccccc21.C[*:1]
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,34,CCN1C(=C[*:2])C(C)([*:1])c2ccccc21,CC[N+]1=C(C=CC=C[*:2])C(C)(C)c2ccccc21.C[*:1],CCN1C(=C[*:2])C(C)([*:1])c2ccccc21.CC[N+]1=C(C=CC=C[*:2])C(C)(C)c2ccccc21.C[*:1]
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,35,C([*:1])[*:2],CC[N+]1=C(C=CC=CC=C2N([*:2])c3ccccc3C2(C)C)C(C)(C)c2ccccc21.C[*:1],C([*:1])[*:2].CC[N+]1=C(C=CC=CC=C2N([*:2])c3ccccc3C2(C)C)C(C)(C)c2ccccc21.C[*:1]
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,36,CC[N+]1=C(C=CC=CC=C2N([*:2])c3ccccc3C2(C)[*:1])C(C)(C)c2ccccc21,CC[*:2].C[*:1],CC[N+]1=C(C=CC=CC=C2N([*:2])c3ccccc3C2(C)[*:1])C(C)(C)c2ccccc21.CC[*:2].C[*:1]
