smiles,cutnum,scaffold,fragment,combined
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,37,CC[N+]1=C(C=CC=CC=C2N(C[*:1])c3ccccc3C2(C)[*:2])C(C)(C)c2ccccc21,C[*:1].C[*:2],CC[N+]1=C(C=CC=CC=C2N(C[*:1])c3ccccc3C2(C)[*:2])C(C)(C)c2ccccc21.C[*:1].C[*:2]
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,38,CCN1C(=CC=CC=CC2=[N+](CC)c3ccccc3C2(C)C)C([*:1])([*:2])c2ccccc21,C[*:1].C[*:2],CCN1C(=CC=CC=CC2=[N+](CC)c3ccccc3C2(C)C)C([*:1])([*:2])c2ccccc21.C[*:1].C[*:2]
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,1,CCN1C(=CC=CC=CC2=[N+]([*:3])c3ccccc3C2([*:1])[*:2])C(C)(C)c2ccccc21,CC[*:3].C[*:1].C[*:2],CCN1C(=CC=CC=CC2=[N+]([*:3])c3ccccc3C2([*:1])[*:2])C(C)(C)c2ccccc21.CC[*:3].C[*:1].C[*:2]
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,2,CCN1C(=CC=CC=CC2=[N+](C[*:3])c3ccccc3C2([*:1])[*:2])C(C)(C)c2ccccc21,C[*:1].C[*:2].C[*:3],CCN1C(=CC=CC=CC2=[N+](C[*:3])c3ccccc3C2([*:1])[*:2])C(C)(C)c2ccccc21.C[*:1].C[*:2].C[*:3]
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,3,CC[N+]1=C([*:3])C([*:1])([*:2])c2ccccc21,CCN1C(=CC=CC=C[*:3])C(C)(C)c2ccccc21.C[*:1].C[*:2],CC[N+]1=C([*:3])C([*:1])([*:2])c2ccccc21.CCN1C(=CC=CC=C[*:3])C(C)(C)c2ccccc21.C[*:1].C[*:2]
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,4,CC[N+]1=C(C=C[*:3])C([*:1])([*:2])c2ccccc21,CCN1C(=CC=C[*:3])C(C)(C)c2ccccc21.C[*:1].C[*:2],CC[N+]1=C(C=C[*:3])C([*:1])([*:2])c2ccccc21.CCN1C(=CC=C[*:3])C(C)(C)c2ccccc21.C[*:1].C[*:2]
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,5,CC[N+]1=C(C=CC=C[*:3])C([*:1])([*:2])c2ccccc21,CCN1C(=C[*:3])C(C)(C)c2ccccc21.C[*:1].C[*:2],CC[N+]1=C(C=CC=C[*:3])C([*:1])([*:2])c2ccccc21.CCN1C(=C[*:3])C(C)(C)c2ccccc21.C[*:1].C[*:2]
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,6,CC[N+]1=C(C=CC=CC=C2N([*:3])c3ccccc3C2(C)C)C([*:1])([*:2])c2ccccc21,CC[*:3].C[*:1].C[*:2],CC[N+]1=C(C=CC=CC=C2N([*:3])c3ccccc3C2(C)C)C([*:1])([*:2])c2ccccc21.CC[*:3].C[*:1].C[*:2]
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,7,CC[N+]1=C(C=CC=CC=C2N(C[*:3])c3ccccc3C2(C)C)C([*:1])([*:2])c2ccccc21,C[*:1].C[*:2].C[*:3],CC[N+]1=C(C=CC=CC=C2N(C[*:3])c3ccccc3C2(C)C)C([*:1])([*:2])c2ccccc21.C[*:1].C[*:2].C[*:3]
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,8,CCN1C(=CC=CC=CC2=[N+](CC)c3ccccc3C2([*:1])[*:2])C(C)([*:3])c2ccccc21,C[*:1].C[*:2].C[*:3],CCN1C(=CC=CC=CC2=[N+](CC)c3ccccc3C2([*:1])[*:2])C(C)([*:3])c2ccccc21.C[*:1].C[*:2].C[*:3]
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,9,CC1([*:1])C([*:2])=[N+]([*:3])c2ccccc21,CCN1C(=CC=CC=C[*:2])C(C)(C)c2ccccc21.CC[*:3].C[*:1],CC1([*:1])C([*:2])=[N+]([*:3])c2ccccc21.CCN1C(=CC=CC=C[*:2])C(C)(C)c2ccccc21.CC[*:3].C[*:1]
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,10,CC1([*:1])C(C=C[*:2])=[N+]([*:3])c2ccccc21,CCN1C(=CC=C[*:2])C(C)(C)c2ccccc21.CC[*:3].C[*:1],CC1([*:1])C(C=C[*:2])=[N+]([*:3])c2ccccc21.CCN1C(=CC=C[*:2])C(C)(C)c2ccccc21.CC[*:3].C[*:1]
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,11,CC1([*:1])C(C=CC=C[*:2])=[N+]([*:3])c2ccccc21,CCN1C(=C[*:2])C(C)(C)c2ccccc21.CC[*:3].C[*:1],CC1([*:1])C(C=CC=C[*:2])=[N+]([*:3])c2ccccc21.CCN1C(=C[*:2])C(C)(C)c2ccccc21.CC[*:3].C[*:1]
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,12,CC1(C)C(=CC=CC=CC2=[N+]([*:2])c3ccccc3C2(C)[*:1])N([*:3])c2ccccc21,CC[*:2].CC[*:3].C[*:1],CC1(C)C(=CC=CC=CC2=[N+]([*:2])c3ccccc3C2(C)[*:1])N([*:3])c2ccccc21.CC[*:2].CC[*:3].C[*:1]
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,13,CC1(C)C(=CC=CC=CC2=[N+]([*:3])c3ccccc3C2(C)[*:1])N(C[*:2])c2ccccc21,CC[*:3].C[*:1].C[*:2],CC1(C)C(=CC=CC=CC2=[N+]([*:3])c3ccccc3C2(C)[*:1])N(C[*:2])c2ccccc21.CC[*:3].C[*:1].C[*:2]
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,14,CCN1C(=CC=CC=CC2=[N+]([*:3])c3ccccc3C2(C)[*:1])C(C)([*:2])c2ccccc21,CC[*:3].C[*:1].C[*:2],CCN1C(=CC=CC=CC2=[N+]([*:3])c3ccccc3C2(C)[*:1])C(C)([*:2])c2ccccc21.CC[*:3].C[*:1].C[*:2]
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,15,CC1([*:1])C([*:3])=[N+](C[*:2])c2ccccc21,CCN1C(=CC=CC=C[*:3])C(C)(C)c2ccccc21.C[*:1].C[*:2],CC1([*:1])C([*:3])=[N+](C[*:2])c2ccccc21.CCN1C(=CC=CC=C[*:3])C(C)(C)c2ccccc21.C[*:1].C[*:2]
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,16,CC1([*:1])C(C=C[*:3])=[N+](C[*:2])c2ccccc21,CCN1C(=CC=C[*:3])C(C)(C)c2ccccc21.C[*:1].C[*:2],CC1([*:1])C(C=C[*:3])=[N+](C[*:2])c2ccccc21.CCN1C(=CC=C[*:3])C(C)(C)c2ccccc21.C[*:1].C[*:2]
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,17,CC1([*:1])C(C=CC=C[*:3])=[N+](C[*:2])c2ccccc21,CCN1C(=C[*:3])C(C)(C)c2ccccc21.C[*:1].C[*:2],CC1([*:1])C(C=CC=C[*:3])=[N+](C[*:2])c2ccccc21.CCN1C(=C[*:3])C(C)(C)c2ccccc21.C[*:1].C[*:2]
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,18,CC1(C)C(=CC=CC=CC2=[N+](C[*:2])c3ccccc3C2(C)[*:1])N([*:3])c2ccccc21,CC[*:3].C[*:1].C[*:2],CC1(C)C(=CC=CC=CC2=[N+](C[*:2])c3ccccc3C2(C)[*:1])N([*:3])c2ccccc21.CC[*:3].C[*:1].C[*:2]
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,19,CC1(C)C(=CC=CC=CC2=[N+](C[*:2])c3ccccc3C2(C)[*:1])N(C[*:3])c2ccccc21,C[*:1].C[*:2].C[*:3],CC1(C)C(=CC=CC=CC2=[N+](C[*:2])c3ccccc3C2(C)[*:1])N(C[*:3])c2ccccc21.C[*:1].C[*:2].C[*:3]
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,20,CCN1C(=CC=CC=CC2=[N+](C[*:2])c3ccccc3C2(C)[*:1])C(C)([*:3])c2ccccc21,C[*:1].C[*:2].C[*:3],CCN1C(=CC=CC=CC2=[N+](C[*:2])c3ccccc3C2(C)[*:1])C(C)([*:3])c2ccccc21.C[*:1].C[*:2].C[*:3]
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,21,CC[N+]1=C(C=CC=CC=C2N([*:3])c3ccccc3C2(C)[*:2])C(C)([*:1])c2ccccc21,CC[*:3].C[*:1].C[*:2],CC[N+]1=C(C=CC=CC=C2N([*:3])c3ccccc3C2(C)[*:2])C(C)([*:1])c2ccccc21.CC[*:3].C[*:1].C[*:2]
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,22,CC[N+]1=C(C=CC=CC=C2N(C[*:2])c3ccccc3C2(C)[*:3])C(C)([*:1])c2ccccc21,C[*:1].C[*:2].C[*:3],CC[N+]1=C(C=CC=CC=C2N(C[*:2])c3ccccc3C2(C)[*:3])C(C)([*:1])c2ccccc21.C[*:1].C[*:2].C[*:3]
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,23,CCN1C(=CC=CC=CC2=[N+](CC)c3ccccc3C2(C)[*:1])C([*:2])([*:3])c2ccccc21,C[*:1].C[*:2].C[*:3],CCN1C(=CC=CC=CC2=[N+](CC)c3ccccc3C2(C)[*:1])C([*:2])([*:3])c2ccccc21.C[*:1].C[*:2].C[*:3]
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,24,CC1(C)C(C=CC=CC=C2N([*:3])c3ccccc3C2(C)[*:1])=[N+]([*:2])c2ccccc21,CC[*:2].CC[*:3].C[*:1],CC1(C)C(C=CC=CC=C2N([*:3])c3ccccc3C2(C)[*:1])=[N+]([*:2])c2ccccc21.CC[*:2].CC[*:3].C[*:1]
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,25,CC1(C)C(C=CC=CC=C2N(C[*:1])c3ccccc3C2(C)[*:2])=[N+]([*:3])c2ccccc21,CC[*:3].C[*:1].C[*:2],CC1(C)C(C=CC=CC=C2N(C[*:1])c3ccccc3C2(C)[*:2])=[N+]([*:3])c2ccccc21.CC[*:3].C[*:1].C[*:2]
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,26,CCN1C(=CC=CC=CC2=[N+]([*:3])c3ccccc3C2(C)C)C([*:1])([*:2])c2ccccc21,CC[*:3].C[*:1].C[*:2],CCN1C(=CC=CC=CC2=[N+]([*:3])c3ccccc3C2(C)C)C([*:1])([*:2])c2ccccc21.CC[*:3].C[*:1].C[*:2]
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,27,CC1(C)C(C=CC=CC=C2N([*:3])c3ccccc3C2(C)[*:2])=[N+](C[*:1])c2ccccc21,CC[*:3].C[*:1].C[*:2],CC1(C)C(C=CC=CC=C2N([*:3])c3ccccc3C2(C)[*:2])=[N+](C[*:1])c2ccccc21.CC[*:3].C[*:1].C[*:2]
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,28,CC1(C)C(C=CC=CC=C2N(C[*:2])c3ccccc3C2(C)[*:3])=[N+](C[*:1])c2ccccc21,C[*:1].C[*:2].C[*:3],CC1(C)C(C=CC=CC=C2N(C[*:2])c3ccccc3C2(C)[*:3])=[N+](C[*:1])c2ccccc21.C[*:1].C[*:2].C[*:3]
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,29,CCN1C(=CC=CC=CC2=[N+](C[*:1])c3ccccc3C2(C)C)C([*:2])([*:3])c2ccccc21,C[*:1].C[*:2].C[*:3],CCN1C(=CC=CC=CC2=[N+](C[*:1])c3ccccc3C2(C)C)C([*:2])([*:3])c2ccccc21.C[*:1].C[*:2].C[*:3]
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,30,CC1([*:1])C(=CC=CC=C[*:2])N([*:3])c2ccccc21,CC[*:3].CC[N+]1=C([*:2])C(C)(C)c2ccccc21.C[*:1],CC1([*:1])C(=CC=CC=C[*:2])N([*:3])c2ccccc21.CC[*:3].CC[N+]1=C([*:2])C(C)(C)c2ccccc21.C[*:1]
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,31,CC1([*:2])C(=CC=CC=C[*:3])N(C[*:1])c2ccccc21,CC[N+]1=C([*:3])C(C)(C)c2ccccc21.C[*:1].C[*:2],CC1([*:2])C(=CC=CC=C[*:3])N(C[*:1])c2ccccc21.CC[N+]1=C([*:3])C(C)(C)c2ccccc21.C[*:1].C[*:2]
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,32,CCN1C(=CC=CC=C[*:3])C([*:1])([*:2])c2ccccc21,CC[N+]1=C([*:3])C(C)(C)c2ccccc21.C[*:1].C[*:2],CCN1C(=CC=CC=C[*:3])C([*:1])([*:2])c2ccccc21.CC[N+]1=C([*:3])C(C)(C)c2ccccc21.C[*:1].C[*:2]
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,33,CC1([*:1])C(=CC=C[*:2])N([*:3])c2ccccc21,CC[*:3].CC[N+]1=C(C=C[*:2])C(C)(C)c2ccccc21.C[*:1],CC1([*:1])C(=CC=C[*:2])N([*:3])c2ccccc21.CC[*:3].CC[N+]1=C(C=C[*:2])C(C)(C)c2ccccc21.C[*:1]
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,34,CC1([*:2])C(=CC=C[*:3])N(C[*:1])c2ccccc21,CC[N+]1=C(C=C[*:3])C(C)(C)c2ccccc21.C[*:1].C[*:2],CC1([*:2])C(=CC=C[*:3])N(C[*:1])c2ccccc21.CC[N+]1=C(C=C[*:3])C(C)(C)c2ccccc21.C[*:1].C[*:2]
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,35,CCN1C(=CC=C[*:3])C([*:1])([*:2])c2ccccc21,CC[N+]1=C(C=C[*:3])C(C)(C)c2ccccc21.C[*:1].C[*:2],CCN1C(=CC=C[*:3])C([*:1])([*:2])c2ccccc21.CC[N+]1=C(C=C[*:3])C(C)(C)c2ccccc21.C[*:1].C[*:2]
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,36,CC1([*:1])C(=C[*:2])N([*:3])c2ccccc21,CC[*:3].CC[N+]1=C(C=CC=C[*:2])C(C)(C)c2ccccc21.C[*:1],CC1([*:1])C(=C[*:2])N([*:3])c2ccccc21.CC[*:3].CC[N+]1=C(C=CC=C[*:2])C(C)(C)c2ccccc21.C[*:1]
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,37,CC1([*:2])C(=C[*:3])N(C[*:1])c2ccccc21,CC[N+]1=C(C=CC=C[*:3])C(C)(C)c2ccccc21.C[*:1].C[*:2],CC1([*:2])C(=C[*:3])N(C[*:1])c2ccccc21.CC[N+]1=C(C=CC=C[*:3])C(C)(C)c2ccccc21.C[*:1].C[*:2]
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,38,CCN1C(=C[*:3])C([*:1])([*:2])c2ccccc21,CC[N+]1=C(C=CC=C[*:3])C(C)(C)c2ccccc21.C[*:1].C[*:2],CCN1C(=C[*:3])C([*:1])([*:2])c2ccccc21.CC[N+]1=C(C=CC=C[*:3])C(C)(C)c2ccccc21.C[*:1].C[*:2]
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,39,CC[N+]1=C(C=CC=CC=C2N([*:3])c3ccccc3C2([*:1])[*:2])C(C)(C)c2ccccc21,CC[*:3].C[*:1].C[*:2],CC[N+]1=C(C=CC=CC=C2N([*:3])c3ccccc3C2([*:1])[*:2])C(C)(C)c2ccccc21.CC[*:3].C[*:1].C[*:2]
CCN1/C(=C\C=C\C=C\C2=[N+](CC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,40,CC[N+]1=C(C=CC=CC=C2N(C[*:1])c3ccccc3C2([*:2])[*:3])C(C)(C)c2ccccc21,C[*:1].C[*:2].C[*:3],CC[N+]1=C(C=CC=CC=C2N(C[*:1])c3ccccc3C2([*:2])[*:3])C(C)(C)c2ccccc21.C[*:1].C[*:2].C[*:3]
